LGA_CODE21,LGA_NAME21,AREASQKM21,LATITUDE,LONGITUDE
10050,Albury,305.6386,-36.0265388044189,146.970525914498
10180,Armidale Regional,7809.4406,-30.3673826235845,151.899111325967
10250,Ballina,484.9692,-28.8528748600675,153.486157112473
10300,Balranald,21690.7493,-33.9503396668861,143.611623958302
10470,Bathurst Regional,3817.8645,-33.430126013645,149.525639411781
10500,Bayside (NSW),50.6204,-33.9495156698941,151.167120414511
10550,Bega Valley,6278.5013,-36.8259019612047,149.717593350595
10600,Bellingen,1600.4338,-30.4037897774347,152.728596345404
10650,Berrigan,2065.8878,-35.7343126266175,145.711180280157
10750,Blacktown,238.8471,-33.7409313615289,150.864093405859
10800,Bland,8557.6536,-33.8943307603616,146.961273278016
10850,Blayney,1524.647,-33.5943175123599,149.142064564127
10900,Blue Mountains,1431.1442,-33.6975316098584,150.411146784756
10950,Bogan,14599.8996,-31.5381159903317,146.866879071413
11150,Bourke,41598.3722,-29.9105806212328,145.356812929062
11200,Brewarrina,19162.0296,-29.7915895853013,146.960883736161
11250,Broken Hill,170.1153,-31.9440223033881,141.479274936615
11300,Burwood,7.1282,-33.8836735296553,151.103157449348
11350,Byron,565.8027,-28.6041540977575,153.48251108665
11400,Cabonne,6022.3496,-33.15298480857,148.754106870388
11450,Camden,201.5278,-34.0088308267278,150.72419936021
11500,Campbelltown (NSW),311.4117,-34.0834120065783,150.845863219989
11520,Canada Bay,19.9239,-33.8534852750334,151.114830847304
11570,Canterbury-Bankstown,110.2374,-33.9234950167909,151.037325728085
11600,Carrathool,18934.4853,-33.6089796570969,145.496431358966
11650,Central Coast (NSW),1681.0059,-33.3079738806527,151.285488296628
11700,Central Darling,53492.193,-31.8506847588435,143.589698382253
11720,Cessnock,1965.1593,-32.9250554550135,151.224905468135
11730,Clarence Valley,10428.6804,-29.6817255156944,152.751157777066
11750,Cobar,45575.3512,-31.8679681837724,145.482856769474
11800,Coffs Harbour,1173.7435,-30.1890261036391,153.039840246517
12000,Coolamon,2430.9037,-34.6325185190388,147.104838833578
12150,Coonamble,9916.0535,-30.8705356484826,148.291613248622
12160,Cootamundra-Gundagai Regional,3981.4172,-34.8529621860724,148.094125342312
12350,Cowra,2808.7821,-33.7963704026151,148.717956131175
12380,Cumberland,72.7496,-33.8421368289298,150.986465285623
12390,Dubbo Regional,7534.5251,-32.4247037488073,148.854416777247
12700,Dungog,2249.9983,-32.3495478629311,151.608292884415
12730,Edward River,8883.4463,-35.1725312651438,144.94147813513
12750,Eurobodalla,3428.1695,-35.9451437236788,149.947054733778
12850,Fairfield,101.5072,-33.8656216997692,150.895422218078
12870,Federation,5684.9253,-35.4970428387834,146.271372116412
12900,Forbes,4710.128,-33.4216187119819,147.867207941437
12930,Georges River,38.3375,-33.9710188350397,151.086363648686
12950,Gilgandra,4831.5057,-31.6190137011424,148.690740027187
13010,Glen Innes Severn,5479.977,-29.6449737533012,151.903048337977
13310,Goulburn Mulwaree,3220.0796,-34.8760267569507,149.81349691782
13340,Greater Hume Shire,5749.3875,-35.7502598148783,147.171835040318
13450,Griffith,1639.1732,-34.3003973547065,146.003594037767
13550,Gunnedah,4987.0295,-31.0465328845187,150.188895593368
13660,Gwydir,9259.6544,-29.5934682726742,150.516815524105
13800,Hawkesbury,2775.1378,-33.3347661171236,150.773247546697
13850,Hay,11325.9324,-34.315848900362,144.683706325564
13910,Hilltops,7140.8865,-34.351996991077,148.500963234751
14000,Hornsby,455.0374,-33.5839177452145,151.089419685
14100,Hunters Hill,5.7169,-33.833339147831,151.145134414874
14170,Inner West,35.2115,-33.8913219342819,151.154915351569
14220,Inverell,9404.7564,-29.4188371723305,151.07518135716
